Labels,Document Files,Issue Number,Title,Contributor1,Contributor2
enhancement,debugnode.html,603,Latest jshint (2.9.0) with Komodo Edit (version 9.2.0  build 15966) fails,Park,Yang
Bug,codeintel.html,598,"""Create Komodo Language"" does not properly generate code-intel stub?",Eun,Park
enhancement,keybind.html,588,Add Support for Iterating Through Misspelled Words,Park,Yang
Bug,linter-reference.html,576,Spellchecker: doesn't update state when word is changed,Eun,Park
enhancement,linter-reference.html,574,Show syntax error indicators in minimap,Park,Yang
enhancement,starting.html,545,Komodo IDE 9.2 gets very sluggish after a while,Park,Yang
enhancement,templates.html,539,Improve Unified Menu UX,Park,Yang
enhancement,editor.html,534,Copied text lost after Komodo is closed (Linux),Park,Yang
enhancement,debugnode.html,531,jshint (and presumably jslint) custom interpreter expecs a JS file,Park,Yang
enhancement,codeintel.html,528,CodeIntel isn't aware of the return type of Kernel#gets in Ruby,Park,Yang
enhancement,debugruby.html,527,"Ruby ""online definition"" is forwarding to an obsolete URL",Park,Yang
enhancement,prefs.html,518,Make Advanced Options Easier To Discover,Park,Yang
enhancement,files.html,512,"Add ""Close files by type"" feature for Open Files pane",Park,Yang
enhancement,codeintel.html,51,Support 'require_relative' in codeintel,Yang,
Bug,editor.html,506,Toolbox items disappear after running a toolbox command ,Eun,Park
enhancement,files.html,499,"Can't cancel ""close your project's files?"" prompt when closing Komodo",Park,Yang
enhancement,prefs.html,498,"Disable ""Enable autocomplete fill-up characters"" by default",Park,Yang
Bug,editor.html,491,komodo edit undo disabled,Eun,Park
enhancement,debugphp.html,488,no contrast between less and php file icons,Park,Yang
Bug,editor.html,485,"Add structured edit (""paredit"") for Lisps ",Eun,Park
Bug,editor.html,479,Support .jshintrc config file. ,Eun,Park
Bug,starting.html,473,Other windows clicked out of view?,Eun,Park
enhancement,search.html,467,Find/Replace should not care about whether it recognizes an extension,Park,Yang
Bug,linter-reference.html,449,Perl code intelligence does not recognize logical defined or operator in sub ,Eun,Park
enhancement,debugphp.html,447,Allow HTML5 for language PHP,Park,Yang
enhancement,codeintel.html,444,Spastic Code intel Throbber,Park,Yang
enhancement,files.html,439,Saving opened files¡¯ changes in buffer #Enhancement,Park,Yang
Bug,editor.html,438,Fetch CSS files in HTML files to provide auto-complete for classes and ids,Eun,Park
Bug,regex.html,42,RX Toolkit / regex os x editor text invisible,Eun,Park
enhancement,commando.html,413,Commando: Request for toggle functionality (show/hide Commando),Park,Yang
enhancement,editor.html,412,"Commando ignores ""Focus On Editor"" command",Yang,
Bug,files.html,409,"Closing without saving dirty project files causes two ""save your files"" prompts ",Eun,Park
Bug,macros.html,407,Renaming an open macro allows the macro to be open in two unsync'ed editors ,Eun,Park
enhancement,shortcuts.html,400,New type of fold indicator controls,Park,Yang
enhancement,prefs.html,398,dark window theme problem: checkboxes in grid view appear black ,Park,Yang
enhancement,prefs.html,396,"Brace highlighting causes neighbor character's style to ""flicker""",Park,Yang
bug,prefs.html,3871,JSX highlighter incorrectly matches brace when {{double curly braces are present},Park,
enhancement,linter-reference.html,3859,Enhancement: Update Python syntax checking with flake8,Yang,
enhancement,package-manager-integration.html,3854,Packages manager is missing option to disable addon,Park,
enhancement,editor.html,3853,ko/ui/radiogroup doesn't accept lists of strings like a menu can,Park,
enhancement,project.html,385,remember folding setting for a file,Park,Yang
bug,keybind.html,3842,Commenting out block selections breaks arrow key behavior ,Park,
enhancement,prefs.html,3820,Preferences | Environment - prepend instead of override,Park,
enhancement,files.html,3819,Folding in text files,Park,Yang
enhancement,prefs.html,380,"""Find"" dialog's ""pattern not found"" message is mostly invisible with dark window theme",Park,Yang
enhancement,editor.html,3769,Buffers are cached forever in driver.py,Park,
enhancement,places.html,373,Select Server dropdown in Places SideBar,Park,Yang
bug,snippets.html,3694,Print Statement : snippet shortcuts don't work,Park,
Bug,debugger.html,3670,Debuger Initialization error with tcl project on Linux Mint 18.3 Sylvia ,Eun,Park
bug,commando.html,3663,indexer.py stage_request can continually delay memory cleanup,Park,
bug,codeintel.html,3649,PHP Imports cause CPU spikes (with workaround),Park,
bug,prefs.html,3648,Drop Down Options Not Working,Park,
Bug,editor.html,3647,Feature Request: Make all Text at the Minimap Visible at all Times,Eun,Park
bug,editor.html,3646,KomodoEdit Fails to Build from Source on openSUSE Linux,Park,
bug,codeintel.html,3627,Komodo IDE codeintel breaks on multiline f-strings ,Park,
Bug,editor.html,3625,Komodo IDE - Unit-testing widget  click edit/pencil button blows away custom command field,Eun,Park
Bug,unittest.html,3623,Use interpolation string instead of hardcoded binary names in default unit testing commands ,Eun,Park
bug,commando.html,3609,"Commando: Files keyboard shortcut fails (the second time) when ""Preserve Previous Search Query"" is checked.",Park,
bug,files.html,3607,Configuring eslint for JSX files fills input for Javascript,Park,
Bug,editor.html,3606,Symbol browser not detecting variables,Eun,Park
Bug,prefs.html,3604,go to definition hyperlink pref needs to be removed,Eun,Park
bug,editor.html,3601,Autocompletion is failing very often,Park,
bug,codeintel.html,3591,CodeIntel for CSS doesn't respect project excludes,Park,
Bug,commando.html,3588,"""Show parsed output as a list"" in Command settings not working",Eun,Park
Bug,search.html,3583,toolbox rx fail on replace,Eun,Park
bug,codeintel.html,3582,CodeIntel for Perl does not scan .pm files (Perl module files),Park,
Bug,editor.html,3580,Dialogs are still failing to load content,Park,Park
Bug,linter-reference.html,3574,Replace pep8 with pycodestyle,Eun,Park
bug,files.html,3573,x close character too close to filename in OpenFiles,Park,
bug,editor.html,3569,Komodo IDE 11.1 abbreviations not honouring indentations,Park,
bug,codeintel.html,3568,Codeintel go to definition finds nothing,Park,
bug,codeintel.html,3567,11.1 Symbol Browser/CodeIntel broken in new window,Park,
bug,files.html,3565,Can not create a new file on an SFTP server :(,Park,
Bug,editor.html,3564,11.1 Symbol Browser dead,Park,Park
Bug,debugperl.html,3562,go to definition does not work for some Perl variables,Eun,Park
bug,prefs.html,3558,Cannot get jquery completions,Park,
enhancement,editor.html,3551,Display wrapping for comments at 80 columns instead of the right window border,Park,
Bug,editor.html,3549,getNextScope is returning non-scope symbols,Eun,Park
Bug,refactoring.html,3548,Refactoring is very unreliable?,Eun,Park
enhancement,files.html,3545,"""Show in Filemanager"" fails.",Yang,
bug,search.html,3543,Find References does not work on PHP variables,Park,
Bug,refactoring.html,3541,Refactoring: Rename variable isn't working,Eun,Park
bug,codeintel.html,3540,Investigate Optimizing languages that override AbstractMemberCompletionContext.getCompletions,Park,
bug,starting.html,3535,I can't reconnect with the server when I use OpenSSH Key file for authentication,Park,
Bug,linter-reference.html,3534,Spell checks strings even if disabled,Eun,Park
enhancement,search.html,3532,No Feedback for Replace All,Park,Yang
enhancement,files.html,3531,Right-click on file Tab > Show in Explorer,Park,Yang
Bug,codeintel.html,3529,Code Intel Crashes repeatedly then finally dies permanently,Eun,Park
bug,refactoring.html,3528,Refactoring is very unreliable,Park,
Bug,publish.html,3515,Publishing Allow reload of dialog after sync,Eun,Park
Bug,publish.html,3513,Publishing no longer works,Eun,Park
enhancement,debugger.html,351,Allow rewind of debugger statements to rerun previous lines,Yang,
enhancement,codeintel.html,3500,Symbol browser: Apply filter that was last use in view,Park,
Bug,debugpython.html,3496,python3 debugger does some weird HTML encoding,Eun,Park
Bug,editor.html,3483,Provide snap package,Eun,Park
enhancement,files.html,348,Preserve dirty/unsaved files when restarting Komodo,Park,Yang
enhancement,editor.html,3476,Please allow disable of Drag and Drop editing ,Park,Yang
enhancement,debugger.html,3474,Komodo 10 can't debug with byebug 10.0.0,Park,Yang
Bug,editor.html,3472,Perl auto-completion and code intel does not work when loading the FindBin module and importing $Bin and/or $Script.,Eun,Park
enhancement,debugnode.html,3460,Add support for Nodejs 8 and higher,Park,Yang
Bug,editor.html,3458,Less variable auto completion broken in K11,Eun,Park
Bug,templates.html,3455,New file from template allow for creating new template's from commando,Eun,Park
enhancement,linter-reference.html,3452,New syntax for pseudo elements broken in K11,Park,Yang
Bug,editor.html,3428,Komodo Edit: Dialog box gets wider and wider ,Eun,Park
enhancement,linter-reference.html,3421,Update JS Linting to use ESLint which includes linting for JSX,Park,Yang
Bug,komodo-packages.html,3392,Update pytest parser to support 3.3 ,Eun,Park
Bug,editor.html,3377,LESS / CSS selector autocompletion not working.,Eun,Park
Bug,editor.html,3375,Code Completion fails in Komodo IDE 11,Eun,Park
enhancement,keybind.html,336,Remove restart after applying keybindings dialog,Park,Yang
enhancement,files.html,3350,Handling of errors re-opening files at Komodo startup could be more helpful,Park,Yang
enhancement,debugphp.html,335,Support Arrays/Objects for CodeIntel in PHP,Yang,
enhancement,unittest.html,3345,Unit-testing extension change request related to pytest parsing,Park,Yang
Bug,editor.html,3342,"Komodo IDE 11.0.1: Refactoring variablesname doesn't work -> Exception... ""[JavaScript Error: ""legacy is not defined",Eun,Park
Bug,editor.html,3336,ESLint support.,Eun,Park
Bug,starting.html,3330,profiler window is not being launched,Eun,Park
Bug,documentation-browser.html,332,Auto spellcheck support for markdown files Support ,Eun,Park
Bug,prefs.html,3307,Elastic Tabstops slows down Komodo significantly when used on large files,Eun,Park
Bug,extensions.html,3305,Import additional cix catalog conditionally,Eun,Park
enhancement,debugphp.html,330,"Add support for ""use()"" in PHP function definitions",Park,Yang
Bug,editor.html,3294,Markdown preview add option to change color scheme,Eun,Park
Bug,refactoring.html,3288,Refactoring not working in certain contexts,Eun,Park
Bug,custtbi.html,3287,IDE11 SOME toolbar customizations don't stick ,Eun,Park
enhancement,prefs.html,3282,Preferences search add highlight matching prefrences,Park,Yang
enhancement,prefs.html,3271,Centralize or align exe pref path loading,Park,Yang
enhancement,search.html,3270,Allow movement in codebrowser using keyboard,Yang,
Bug,editor.html,3267,Track Changes won't work with koappinfo.py,Eun,Park
Bug,editor.html,3255,Track Changes requires two clicks on OSX,Eun,Park
enhancement,search.html,325,Change location of feedback block on Find dialog,Park,Yang
Bug,linter-reference.html,3247,JSX Syntax Checking Doesn't Work,Eun,Park
Bug,editor.html,3208,Symbol browser show contrast between symbols in comments,Eun,Park
Bug,unittest.html,319,Fix Perl Unit test integration,Eun,Park
enhancement,prefs.html,3188,No Colour Schemes for Status Bar ,Park,Yang
Bug,debugger.html,3187,Match variable does not work when variable selected,Eun,Park
Bug,editor.html,3176,Komodo crashes when using custom color scheme in startup wizard,Eun,Park
enhancement,templates.html,3171,New File from Template vertical scrollbar overlaps horizontal lines,Park,Yang
enhancement,editor.html,3167,Makefile should force tabs (spaces aren't supported in make),Park,Yang
Bug,commando.html,3151,Clear Cache not working in commando,Eun,Park
enhancement,debugphp.html,315,Enhancement request: Improve PHP syntax highlighting,Yang,
Bug,editor.html,3147,Track changes dialog won't close,Eun,Park
Bug,intshell.html,3143,Interactive shell very often will open but not full initialize,Eun,Park
enhancement,macros.html,3140,Toolbox entry for Slashdot should be removed or replaced,Park,Yang
enhancement,commando.html,3137,Commando: Komodo package manager can't actually manage package other than addons.,Park,Yang
enhancement,commando.html,3136,Commando: implement pagination in commando,Park,Yang
Bug,editor.html,3135,Clipboard manager paste doesnt relocate caret ,Eun,Park
enhancement,commando.html,3133,"COmmando: Setting `Max results` too low removes certain ""everything scope"" items",Park,Yang
enhancement,prefs.html,313,OSX KomodoIDE requires firewall approval on startup because codesign verification fails,Park,Yang
enhancement,codeintel.html,3120,Code completion is not working for some of the python functions,Park,Yang
enhancement,debugchrome.html,3095,When autocompleting html attributes instert =,Park,Yang
Bug,debugperl.html,309,Fix perl debugger bits skipping files with DB in name,Eun,Park
enhancement,project.html,3062,Project Wizards Open Project buttons should have `O` as access key,Park,Yang
enhancement,commando.html,306,Commando: remove current dir when displaying a shortcut,Yang,
Bug,editor.html,3052,No symbols are shown with legacy parser,Eun,Park
Bug,prefs.html,3045,CodeIntel prefs prompt for restart on all pref changes,Eun,Park
Bug,editor.html,3039,Completions don't consider import directories,Eun,Park
Bug,debugperl.html,3035,Perl debugging: watched/local variables do not appear/update immediately,Eun,Park
enhancement,files.html,3023,Can't see folder open indicators (`>` & `v`) in places and Toolbox,Park,Yang
enhancement,debugphp.html,302,Update PHPUnit Compatibility,Park,Yang
enhancement,editor.html,301,Facilitate adding/removing bookmarks,Park,Yang
Bug,codeintel.html,3009,Code intel is not picking up installed modules for Python ,Eun,Park
Bug,debugger.html,3007,"Add ""Remove/Disable all Print Debugging statements"" feature",Eun,Park
enhancement,regex.html,3006,Regex Window Buttons at the top of window should be toggle checkboxes,Park,Yang
Bug,codeintel.html,3003,PHP CodeIntel - dollar signs aren't part of the variable name,Eun,Park
enhancement,prefs.html,3001,Support XUL CodeIntel,Park,Yang
Bug,editor.html,2994,"Toolbox: Don't trigger ""open in komodo"" dialog if dragging and dropping an existing tool ",Eun,Park
enhancement,codeintel.html,2985,Unable to insert variable/function by clicking on the suggestions,Park,Yang
enhancement,commando.html,2977,commando selection changes when results are updated,Park,Yang
Bug,files.html,2972,Komodo not respecting timeout period for remomte file ops,Eun,Park
enhancement,editor.html,2968,Cannot rotate the preview split,Yang,
enhancement,debugger.html,2967,Print debugging symbol flickers when toggled,Park,Yang
enhancement,snippets.html,2966,Print debugging needs its own tool,Park,Yang
enhancement,codeintel.html,2964,Codeintel shouldnt scan your home folder ,Park,Yang
enhancement,editor.html,2957,can't Copy/Paste folders in places,Park,Yang
enhancement,custtbi.html,2951,Start Debugger needs screenshot of tool bar,Park,Yang
Bug,prefs.html,2946,Pref window is not closing on clicking OK,Eun,Park
enhancement,scc.html,2940,Support history in commit messages,Park,Yang
enhancement,templates.html,2926,Confusing menu label for Folder Templates,Park,Yang
Bug,files.html,2914,Komodo throws exception when creating a new file with the same name as an existing file,Eun,Park
Bug,editor.html,2906,Language is not detected for new files,Eun,Park
enhancement,templates.html,2880,Select multiple framworks for one project?,Yang,
Bug,editor.html,2876,Allow for editing framework options trough project preferences,Eun,Park
enhancement,debugperl.html,2866,Update Perl Debugger,Park,Yang
Bug,editor.html,2859,Unable to disable 'print statements' in the editor by renaming toolbox,Eun,Park
enhancement,custtbi.html,2857,Add a menu item for 'print statements',Park,Yang
Bug,macros.html,2856,"Add ""Import Sample Tools Again"" to toolbox",Eun,Park
Bug,editor.html,2844,Sync scrolling in the editor and the preview windows,Eun,Park
Bug,editor.html,2798,"Implement ""highlight words""",Eun,Park
Bug,editor.html,2797,Highlight variable groupbox is not there?,Eun,Park
enhancement,prefs.html,2793,Not able to close the Preview without using the button menu,Park,Yang
enhancement,linter-reference.html,2792,Preview: no syntax highlighting for Markdown files,Park,Yang
Bug,editor.html,2791,Markdown preview button is still there,Eun,Park
Bug,linter-reference.html,2783,Syntax Checking messages are showing up in Notifications pane,Eun,Park
Bug,debugger.html,2782,Perl lvalue subs break in the Komodo IDE debugger,Eun,Park
Bug,editor.html,278,Auto-including for classes ,Eun,Park
enhancement,prefs.html,2774,Figure out what to do with HTML Doctypes/namespaces,Park,Yang
Bug,commando.html,2768,Commando results aren't sorted properly,Eun,Park
Bug,editor.html,2766,Code Completion fails in Komodo IDE 11,Eun,Park
enhancement,templates.html,2759,Create Template Toolbox files for major languages.,Park,Yang
Bug,hyperlinks.html,2753,Color picker doesnt work,Eun,Park
Bug,macros.html,2741,Toolbox: Toolbox tools are not being imported properly,Eun,Park
Bug,documentation-browser.html,2727,Symbol Browser: Locate Scope not working,Eun,Park
enhancement,places.html,2721,Allow horizontal scrolling in side panes,Park,Yang
enhancement,editor.html,2714,Editor: Tab-aware paste doesn't paste over selected text.,Park,Yang
Bug,templates.html,2712,There are no File templates,Eun,Park
Bug,starting.html,2709,Windows: Can't install Komodo 11 side-by-side K 10,Eun,Park
enhancement,codeintel.html,2705,"CodeIntel: Need to forward user-specified directories as ""importPaths""",Park,Yang
Bug,debugruby.html,2681,Incorrect break behaviour during remote debugging of ruby script,Eun,Park
enhancement,search.html,2678,Find by filename in remote files?,Park,Yang
enhancement,prefs.html,2673,Implement better indent width detection,Park,Yang
Bug,debugger.html,2669,Debug Option Not Activating Correctly,Eun,Park
Bug,editor.html,2658,The First Start Wizard window is broken on the master branch ,Eun,Park
enhancement,prefs.html,264,Indentation guides,Park,Yang
Bug,debugnode.html,2635,Projects default to Node.JS as the debugger language. ,Eun,Park
Bug,debugger.html,2633,Debugger trying to set breakpoints when opening interactive shell,Eun,Park
enhancement,commando.html,2629,The live preview toolbar slightly exceeds the height of the statusbar,Park,Yang
Bug,intshell.html,2619,Error is thrown while switching to python interactive shell,Eun,Park
enhancement,debugger.html,256,Removing breakpoint indicator,Park,Yang
enhancement,files.html,2550,Open Files pane sync to open file,Park,Yang
Bug,editor.html,2544,Can't use collaboration feature,Eun,Park
enhancement,prefs.html,2525,Save Projects Passively,Park,Yang
Bug,commando.html,2519,Options 'Copy' or 'Move' are not working in Commando ,Eun,Park
Bug,profiling.html,2497,Shadow on Windows around CodeProfiler window ,Eun,Park
Bug,regex.html,2491,Help is broken for 'Ruby on Rails' Tutorial and 'Regular expression',Eun,Park
Bug,debugger.html,2480,Encoding error when debugging Python on Windows #,Eun,Park
enhancement,search.html,2474,Open the Find Dialog button is missing a tooltip,Park,Yang
enhancement,prefs.html,2470,Allow to set the onUpdateUI timeout value,Park,Yang
Bug,editor.html,2467,Minimap doesn't move when scrolling via wheel in editor,Eun,Park
Bug,editor.html,2465,Toolbox: Userscript error reporting needs to be better,Eun,Park
enhancement,snippets.html,2433,"Toolbox HTML anchor tags in wrong case and space missing in ""w/Dialog"" ",Park,Yang
Bug,editor.html,2427,"Color Scheme Editor doesn't display foreground / backgorund settings when it loads with ""Editor"" selected ",Eun,Park
Bug,debugger.html,2426,Tcl debugger outputs `appLaunch.tcl` stack information on exceptions ,Eun,Park
Bug,templates.html,2420,Javascript template literals don't work in embedded javascript?,Eun,Park
Bug,search.html,242,Refactoring: Rename Class Member: Replace With field is missing,Eun,Park
Bug,editor.html,2412,Komodo can't parse ActiveGo version output,Eun,Park
enhancement,run.html,2403,cmd to open file in browser IMMEDIATELY,Park,Yang
enhancement,commando.html,2401,open folder in Place from commando,Park,Yang
enhancement,debugphp.html,2398,PHP Code Folding for alternate syntax not working,Park,Yang
Bug,pdk.html,2397,Komodo should inform the user if required SCM is not installed ,Eun,Park
enhancement,editor.html,2395,Auto edit delimiters should cancel sooner,Park,Yang
enhancement,prefs.html,2391,expand indicator in prefs is hard to see ,Park,Yang
Bug,editor.html,2382,Unable to add Remote Folders,Eun,Park
enhancement,unittest.html,2364,unit testing - komodo becomes less responsive as number of tests increases,Park,Yang
enhancement,intshell.html,2346,Can't see Selected Text with Default scheme,Park,Yang
Bug,regex.html,2338,JS Regex Editor doesn't support `/m` flag properly,Eun,Park
Bug,run.html,2323,Feature Request : Built-in Terminal ,Eun,Park
enhancement,package-manager-integration.html,2318,Packages missing version number/about section,Park,Yang
enhancement,files.html,231,"""Save as"" in split view",Park,Yang
enhancement,commando.html,2308,"Indicate ""Go to Anything"" action",Park,Yang
enhancement,codeintel.html,2299,Use type hints info in codeintel for python3 ,Park,Yang
enhancement,debugnode.html,2284,Update Node dbgp (if necessary) for Node 6,Park,Yang
Bug,debugger.html,2263,Python debugger messes with class properties ,Eun,Park
Bug,debugger.html,2243,"Chrome Debugging on Windows Fails With File ""unavailable for debugging"" ",Eun,Park
Bug,codeintel.html,2241,PHP Codeintel Cannot Handle Variable Assignment in Single-Line 'if' Conditional,Eun,Park
enhancement,search.html,2237,"Remove ""Find in Files"" tool sample",Park,Yang
Bug,editor.html,2212,Unexpected Color Scheme Change,Eun,Park
enhancement,prefs.html,,Prefs > Environmental: Enable copy/edit of System vars in all scopes,Park,Yang
Bug,editor.html,2164,SCC: Open file context: Menu items are disabled,Eun,Park
Bug,editor.html,2144,PHP autocomplete directory have to get scanned every time I launch Komodo,Eun,Park
Bug,custtbi.html,2131,Macro toolbar items hide when the panel toggle toolbar items are hidden,Eun,Park
enhancement,project.html,2130,Scan projects when they are first opened,Park,Yang
enhancement,search.html,2127,Create indent safe paste function,Park,Yang
Bug,documentation-browser.html,2111,Missing icon for browser preview and image,Eun,Park
Bug,editor.html,2110,Add Stylus support,Eun,Park
enhancement,files.html,211,Not clear what tab is active in split view ,Park,Yang
enhancement,debugpython.html,21,Python module with __init__ ,Yang,
Bug,files.html,2089,Not opening file from top text entry,Eun,Park
Bug,editor.html,2080,Jumpy Minimap scrolling,Eun,Park
Bug,shortcuts.html,206,"Shortcut for ""Make Lowercase"" does something else in Komodo 9.0.1",Eun,Park
enhancement,documentation-browser.html,203,Improve Doc popups for functions,Park,Yang
Bug,refactoring.html,2017,refactoring: extracted function and placed it between func definition and implementation block ,Eun,Park
Bug,run.html,2006,Start Komodo from terminal and create project in current dir ,Eun,Park
Bug,debugphp.html,1992,Update xdebug bits to include PHP7,Eun,Park
Bug,komodo-packages.html,1986,Provide Debian packages,Eun,Park
enhancement,commando.html,197,Commando not respecting Exclude paths in Places Pref scope,Yang,
Bug,files.html,1959,Implement async remote files,Eun,Park
Bug,prefs.html,1955,Komodo freezes if it loses temporarily network connection while remote dir is opened via sftp,Eun,Park
Bug,editor.html,1953,"Dynamic toolbar - ""Init"" mechanic",Eun,Park
enhancement,codeintel.html,195,Exlcude/include functionality for code intel ,Park,Yang
Bug,linter-reference.html,1944,Syntax checking indicates error on 'info class instances' command,Eun,Park
Bug,editor.html,193,Context Menu opens on other monitor ,Eun,Park
enhancement,run.html,1918,About Komodo dialog should include Beta/alpha information,Park,Yang
Bug,custtbi.html,1911,Menu and Toolbar toolbox items have icon that overlap they're dropdown arrow,Eun,Park
enhancement,files.html,191,"""Open Files"" panel not updated after File > Save As..",Park,Yang
enhancement,search.html,1906,non-alpha-numeric chars break callbacks and callouts,Park,Yang
enhancement,debugger.html,1897,Edit breakpoints from breakpoint margin,Park,Yang
Bug,editor.html,1896,Komodo Edit 10 Autocomplete not show options' list ,Eun,Park
Bug,intshell.html,1887,Create interactive buffer scrollbar,Eun,Park
Bug,unittest.html,1878,Perl unit testing doesn't support TAP::Harness and Test::More and doesn't perform multiple tests. ,Eun,Park
enhancement,codeintel.html,1877,Go to definition for SCSS/Less/SASS variables,Park,Yang
Bug,hyperlinks.html,1876,Hyperlink works once again after closing the color picker,Eun,Park
enhancement,search.html,187,Regression in Replace,Park,Yang
Bug,starting.html,1868,support multiple callouts in tutorial callouts,Eun,Park
