Labels,Document Files,Section,Issue Number,Title,Contributor
Bug,Preferences,New Document,2812,Different MD5 and SHA-256 sums in ANSI file,Yang
Bug,Preferences,Highlighting,7754,incremental search bar: don't clear 'highlight all' option on closing,Yang
Bug,Preferences,MISC,7524,Fixed #7508,Yang
Bug,Preferences,General,6278,Fix tab dragging issues related to switching off TCS_BUTTONS under multi-line tabs mode (per AngryGamer's suggestions),Yang
Bug,Preferences,MISC,5882,Fix Document Peeker constantly changing focus,Yang
Bug,Preferences,Default Directory,5868,Create file confirmation modal has incorrect file name,Yang
Bug,Preferences,Recent Files History,5672,"In the menu ""File"" localization disappears ""Recent Files"" and ""Restore Recent Closed File""",Yang
Bug,Preferences,Recent Files History,5557,"Localize ""Restore recent close file"" too",Yang
Bug,Preferences,Recent Files History,1476,Restore Recent Closed File translation not picked up,Yang
Bug,Preferences,Editing,5261,N++ crashes when sorting lines with numbers longer than 20 digits,Yang
Bug,Preferences,Editing,5555,Fixed crash,Yang
Bug,Preferences,MISC,5554,Fixed defect #5516,Yang
Bug,Preferences,MISC,680,Resizing panes allows automatic resizing of Other View,Yang
Bug,Preferences,MISC,5516,Resizing panes allows automatic resizing of Other View,Yang
Bug,Preferences,Shortcut Mapper,5549,Adjusted a few Swedish shortcuts in the Find dialog to avoid clashes.¡¦,Yang
Bug,Preferences,General,5479,doc switcher right click column header (ex:name) causes crash,Yang
Bug,Preferences,General,5450,Drag tab switches document sometimes,Yang
Bug,Preferences,Global Styles,5441,Fixed multi cursor bugs,Yang
Bug,Preferences,General,5438,Regression: Fixed crash,Yang
Bug,Preferences,Shortcut Mapper,5374,shortcut mapper conflict doesn't display right when filtered,Yang
Bug,Preferences,New Document,5314,Crash Fixed: Regression,Yang
Bug,Preferences,Search Engine,5312,Bug Fix for Tab context menu,Yang
Bug,Preferences,New Document,5202,Auto Detect UTF-8 Encoding for French is broken in Notepad++ 7.6.x (detects vietnamese windows-1258),Yang
Bug,Preferences,File Association,5041,[BUG]file open bug,Yang
Bug,Preferences,Print,4749,Page header and footer preferences do not set properly,Yang
Bug,Preferences,File Association,4655,Notepad++ is corrupting files and opening them with null values.,Yang
Bug,Preferences,New Document,3738,Fix check sign in Encoding menu not always shown,Yang
Bug,Preferences,Language,3631,Language list shows disabled languages,Yang
Bug,Preferences,General,3186,multi-row tab isn't selected on right-click,Yang
Bug,Preferences,Shortcut Mapper,2928,Moving text with keyboard shortcurts introduces garbage,Yang
Bug,Preferences,Recent Files History,2746,"""Don't check at launch time"" does not work",Yang
Bug,Preferences,Style Configurator,2646,Styler for user-defined highlighting crashes program when given arbitrary string,Yang
Bug,Preferences,Editing,2508,Notepad crashing while making new folder,Yang
Bug,Preferences,Shortcut Mapper,2035,Fixed crash issue,Yang
Bug,Preferences,General,2010,Wrong mouse cursor over title bar  menu and document tabs,Yang
Bug,Preferences,Default Directory,1978,rename will not move a file to a new drive,Yang
Bug,Preferences,New Document,1874,Opening a blank file should use same encoding as for a new document,Yang
Bug,Preferences,General,1736,Notepad++ v6.9.1 crash after update destroying opened file,Yang
Bug,Preferences,Backup,1470,Opening a document in notepad++ via command line will discard unsaved changes.,Yang
Bug,Preferences,MISC,1018,Prevent automatic reload of files before shutdown,Yang
Bug,Preferences,Editing,970,Macro problem with 'Word wrap' in NP++ v6.8.3,Yang
Bug,Preferences,Backup,792,Possible fix for #215 - changing timezone causes all files to appear changed,Yang
Bug,Preferences,Backup,215,changing timezone causes all files to appear changed,Yang
Bug,Preferences,MISC,749,After splitting URL  non-URL part remains underlined,Yang
Bug,Preferences,Language,747,language syntax highlighting lost after compare files,Yang
Bug,Preferences,Recent Files History,740,Special characters not shown in list of recent files,Yang
Bug,Preferences,Language,696,Manually selected language not persistant when moving file to a different window,Yang
Bug,Preferences,General,692,Toolbar: properly refresh when switching over small/big icons,Yang
Bug,Preferences,General,673,Preferences: the main toolbar is not properly refreshed when switching over small/big icons,Yang
Bug,Preferences,MISC,689,Reload marks file as unsaved,Yang
Bug,Preferences,General,674,"Preferences: the dialog loses focus when selecting ""Show Document List panel""",Yang
Bug,Preferences,Default Directory,672,Mouse wheel just don't work in the preferences dialog,Yang
Bug,Preferences,New Document,671,Font: Strange symbols in Windows 10,Yang
Bug,Preferences,Editing,670,Compare plugin forgets word wrap,Yang
Bug,Preferences,General,663,Opening files per drag&drop form explorer does not work anymore,Yang
Bug,Preferences,Default Directory,658,Cannot access files on virtual drives,Yang
Bug,Preferences,Cloud,652,Saving settings to OneDrive on Windows 10,Yang
Bug,Preferences,highlighting,647,"Smart Highlighter and ""Other View""",Yang
Bug,Preferences,General,644,Project Panel missing in 6.8.1,Yang
Bug,Preferences,Style Configurator,634,"Source Code Pro font installed with Notepad++ does not have bold ""&"" character",Yang
Bug,Preferences,Style Configurator,547,Ampersands are not displayed with new Font (Source Code Pro),Yang
Bug,Preferences,General,630,Active tab selection,Yang
Bug,Preferences,Backup,601,Snapshot file not cloned on restart,Yang
Bug,Preferences,Recent Files History,580,HTML Tag (CTRL+Shift+T) not working,Yang
Bug,Preferences,General,579,Tab color red even after save,Yang
Bug,Preferences,MISC,571,Look of Ctrl+Tab window,Yang
Bug,Preferences,Recent Files History,558,Use-after-free in doOpen (from opening recent file),Yang
Bug,Preferences,General,539,The status bar does not adjust the individual segments to the (scaled) string size on HiDPI systems,Yang
Bug,Preferences,Delimiter,533,v6.8: Search for CommaCRLFCRLF finds nothing in a WinDOS UTF-8 [Normal] Text File,Yang
Bug,Preferences,highlighting,532,Fortran syntax highlighting only works on fixed-form code,Yang
Bug,Preferences,Global Styles,527,Global override style does not override line number margin font,Yang
Bug,Preferences,Editing,522,Request for pull of bug fix #520 and subsequent pull of feature #521,Yang
Bug,Preferences,Shortcut Mapper,520,Delete/modify Shortcut/Macro menu with 0 items results in crash,Yang
Bug,Preferences,Editing,517,Line wrap : doesn't work,Yang
Bug,Preferences,Style Configurator,501,korean named font can't apply...,Yang
Bug,Preferences,Auto-Completion,498,Comments in HTML and XML are incorrectly auto closed,Yang
Bug,Preferences,New Document,489,n++ is blocking the folder although the file has been closed already.,Yang
Bug,Preferences,Auto-Completion,478,Incorrect commenting XML,Yang
Bug,Preferences,Global Styles,474,Some mathmatical characters arent always displayed,Yang
Bug,Preferences,MISC,432,non-English characters not appearing correctly,Yang
Bug,Preferences,MISC,431,wrong character set after saving txt file,Yang
Bug,Preferences,New Document,425,Some ANSI extended characters not counted in selection counter,Yang
Bug,Preferences,Global Styles,420,Editor jitters with extra digit in line numbers,Yang
Bug,Preferences,Backup,398,Error on saving and reopening file,Yang
Enhancement,preferences,Preferences ,2454,"64 bit version is not registering itself in ""Open with"" menu",Chang
Enhancement,preferences,Preferences ,5053,Improve Backup,Chang
Enhancement,preferences,Preferences ,2117,Save Monitoring (tail) state between sessions.,Chang
Enhancement,preferences,Preferences ,4527,Supressed reload dialog when Monitoring is enabled #3142,Chang
Enhancement,preferences,Preferences ,741,Application locks up when network folder unreachable,Chang
Enhancement,preferences,Preferences ,473,Update settings on cloud in czech.xml,Chang
Enhancement,preferences,Preferences ,5418,NPP jumps to the beginning of a wrapped line after switching between tabs,Chang
Enhancement,preferences,Preferences ,5232,Feature Request - word wrap per tab,Chang
Enhancement,preferences,Preferences ,2571,Disable drag-and-drop text editing (NPP v6.3 and v6.6.9),Chang
Enhancement,preferences,Preferences ,7781,Fix scintilla restoring wrapped buffer issue,Chang
Enhancement,preferences,Preferences ,5626,"disable ""enhancement"": after file reload user can still undo.",Chang
Enhancement,preferences,Preferences ,2034,Added new Option: Enable scrolling beyond last line,Chang
Enhancement,preferences,Preferences ,1912,Update old themes to use the correct style IDs for Pascal,Chang
Enhancement,preferences,Preferences ,1574,Minor performance enhancements,Chang
Enhancement,preferences,Preferences ,1258,Support missing Lexers,Chang
Enhancement,preferences,Preferences ,641,C# syntax color  string literal formatted as VERBATIM style,Chang
Enhancement,preferences,Preferences ,587,Allows auto-inserted text to be an undoable action,Chang
Enhancement,preferences,Preferences ,586,Undo action for auto-inserted characters,Chang
Enhancement,preferences,Preferences ,572,Indentation depth of wrapped lines,Chang
Enhancement,preferences,Preferences ,469,how about add Rust language lexer?,Chang
Enhancement,preferences,Preferences ,2622,Option to auto expand the function-list,Chang
Enhancement,preferences,Preferences ,4595,File association and registering as the default application,Chang
Enhancement,preferences,Preferences ,6156,Remove association check before enabling 'View Current File In' menu items,Chang
Enhancement,preferences,Preferences ,5903,`View current file in ...` for more file types,Chang
Enhancement,preferences,Preferences ,5000,Fixed file association bugs and enhancement,Chang
Enhancement,preferences,Preferences ,654,File Association dialog still cuts text,Chang
Enhancement,preferences,Preferences ,637,Improve space usage in File Association dialog,Chang
Enhancement,preferences,Preferences ,535,Extensions list in File Associations dialog is too thin,Chang
Enhancement,preferences,Preferences ,419,yaml extension for YAML files,Chang
Enhancement,preferences,Preferences ,418,Adding yaml file extension in languages,Chang
Enhancement,preferences,Preferences ,3526,Preferences->General->Document List Panel->Show should have toggle in View menu,Chang
Enhancement,preferences,Preferences ,7640,Increased size the field for localizations.,Chang
Enhancement,preferences,Preferences ,7562,[Fixed issue]: Open Explorer with Correct path in Folder as workspace,Chang
Enhancement,preferences,Preferences ,5981,[IMPROVE] Open folder in explorer in Folder as workspace improvement,Chang
Enhancement,preferences,Preferences ,5056,"Feature request: Add ""Save As"" button between ""Save"" and ""Save All"" buttons. Thanks.",Chang
Enhancement,preferences,Preferences ,4879,Impossible preview in browser of a non-saved HTML file,Chang
Enhancement,preferences,Preferences ,1862,"Use new style folder browser for ""Open Folder as Workspace""",Chang
Enhancement,preferences,Preferences ,1566,Folder as Workspace causes very slow startup,Chang
Enhancement,preferences,Preferences ,1542,folder as workspace : file - open folder as workspace,Chang
Enhancement,preferences,Preferences ,1001,Update bengali.xml,Chang
Enhancement,preferences,Preferences ,956,Show Notepad++.exe bitness in about box,Chang
Enhancement,preferences,Preferences ,772,Adjust toolbar height (fixes #771),Chang
Enhancement,preferences,Preferences ,771,Uneven padding above and below the toolbar buttons,Chang
Enhancement,preferences,Preferences ,687,"Plug-in icons only shown in ""Standard icons"" mode",Chang
Enhancement,preferences,Preferences ,667,Disable the unused gripper of toolbar,Chang
Enhancement,preferences,Preferences ,633,Disable the unused gripper of toolbar,Chang
Enhancement,preferences,Preferences ,645,Notepad++ has too few icons in its UI,Chang
Enhancement,preferences,Preferences ,629,UI scaling for high-resolution desktop displays,Chang
Enhancement,preferences,Preferences ,618,Enhancement: localization list sorted by name,Chang
Enhancement,preferences,Preferences ,5583,Option to MONITOR a file when RELOAD is detected,Chang
Enhancement,preferences,Preferences ,2573,Doc Switcher: context menu option doesn't make sense in vertical...,Chang
Enhancement,preferences,Preferences ,1541,folder as workspace : sort files,Chang
Enhancement,preferences,Preferences ,1450,[Proposal] Prompt before opening file exceeding a given size,Chang
Enhancement,preferences,Preferences ,5286,Only checking for filesystem changes when the tab is selected,Chang
Enhancement,preferences,Preferences ,1087,Do not switch tab on file modification,Chang
Enhancement,preferences,Preferences ,5141,Reload triggered by File Status Auto-Detection purges Undo buffer,Chang
Enhancement,preferences,Preferences ,5125,Added workspace file sorting,Chang
Enhancement,preferences,Preferences ,944,Doc Switcher: option to remove blue diskette icon,Chang
Enhancement,preferences,Preferences ,743,Disable Clickable Link Setting does NOT disable links in current document.,Chang
Enhancement,preferences,Preferences ,702,Better document map,Chang
Enhancement,preferences,Preferences ,681,Issues opening large files,Chang
Enhancement,preferences,Preferences ,664,File Status Auto-Detect,Chang
Enhancement,preferences,Preferences ,631,"Save titles bar location for ""Doc Switcher""",Chang
Enhancement,preferences,Preferences ,4151,Don't halt find/replace operation because of large file,Chang
Enhancement,preferences,Preferences ,5900,Encoding Menu : add new options UCS-2 BE and UCS-2 LE,Chang
Enhancement,preferences,Preferences ,636,Printing Suggestion,Chang
Enhancement,preferences,Preferences ,6272,Simple UX Improvement - Recent Files Vertical Alignment,Chang
Enhancement,preferences,Preferences ,2996,Display MRU list properly on seconday display,Chang
Enhancement,preferences,Preferences ,582,Recent Files: Prompt if file has been deleted,Chang
Enhancement,preferences,Preferences ,468,User defined commands: using DuckDuckGo as default search engine,Chang
Enhancement,preferences,Preferences ,466,Custom search engine,Chang
Enhancement,preferences,Preferences ,407,Don't want Google Search in context menu,Chang
Enhancement,preferences,Preferences ,5610,[Feature Request] Improve usability in Shortcut mapper: Make the columns resizable,Chang
Enhancement,preferences,Preferences ,7948,"Fix for Issue# 7895 - Keyboard shortcut for ""Open Containing Folder in Explorer"" is partially broken",Chang
Enhancement,preferences,Preferences ,5131,Fixed issue #1898 by using a fold level stack.,Chang
Enhancement,preferences,Preferences ,1898,No Python code folding past level 1,Chang
