Labels,Document Files,Section,Issue Number,Title,Contributor
Feature-request,userinterface.md,Get Started / User Interface,89048,Seeding Search view from Find Widget,Park
Bug,userinterface.md,Get started / User Interface,89431,TreeError logged when choosing 'Change Label' or 'Set Local Port',Eun
Feature-request,userinterface.md,Get Started / User Interface,89710,Change the default Korean font,Park
Feature-request,userinterface.md,getstarted/userinterface,89998,show status bar problems count for current file only,Park
Bug,userinterface.md,Get Started / User Interface,90486,Editors show generic icon until they are loaded,Eun
Feature-request,userinterface.md,Get started / User Interface,90533,"Improve ""Open editors"" Feature View",Chang
Bug,userinterface.md,Get Started / User Interface,91287,Panel read only indicator doesn't display correctly for first line,Eun
Feature-request,userinterface.md,Get Started / User Interface,91601,Add an entry point for sync from the settings ui,Park
Feature-request,userinterface.md,Get started / User Interface,92090,Explorer should show hidden files and their path if they are opened,Chang
Feature-request,userinterface.md,Get Started / User Interface,92191,Indicate active UI compoment in the workbench that has focus,Park
Bug,userinterface.md,,3311,QuickOpen: icon overlaps with 'recently opened',Yang
Bug,userinterface.md,,3483,Breakpoint actions should only be enabled when there are breakpoints to reapply/deactivate,Yang
Bug,userinterface.md,,8259,Markdown: coloring wrong after fenced code block,Yang
Bug,userinterface.md,,8995,contextmenu,Yang
Bug,userinterface.md,,25354,Context menu triggered when tree has focus selects an item ,Yang
Feature-request,userdefinedsnippets.md,Editor / Snippets,25173,feature request: add a TM_FILENAME_BASE and TM_FILENAME_EXT or similar variables for snippets,Chang
Feature-request,userdefinedsnippets.md,Editor / Snippets,38459,Feature request: More snippet options,Chang
Feature-request,userdefinedsnippets.md,Editor / Snippets,43140,Additional date-based snippet variables,Chang
Feature-request,userdefinedsnippets.md,Editor / Snippets,65145,File \ Preferences \ User Snippets gets confused if workspace uses a FileSystemProvider,Chang
Feature-request,userdefinedsnippets.md,Editor / Snippets,83834,Adopt insert&replace range for snippet completions,Chang
Feature-request,userdefinedsnippets.md,editor/userdefinedsnippets,88104,Quick suggestions for snippet prefixes that aren't word characters ,Park
Feature-request,userdefinedsnippets.md,editor/userdefinedsnippets,90262,Allow empty string for snippet formating ,Park
Bug,typescript-compiling,,1052,Incorrect error in TypeScript code,Yang
Bug,typescript-compiling,,2225,TypeScript mode created to eagerly which results in unnecessary plugin activation,Yang
Feature-request,typescript.md,Languages / Typescript,37284,Auto imports: not suggested if local type exists,Chang
Feature-request,typescript.md,Languages / Typescript,44111,[Typescript][Feature] Automatically add inferred types to code,Chang
Feature-request,typescript.md,Languages / Typescript,47727,Typescript: sort auto-complete results by priority,Chang
Feature-request,typescript.md,Languages / Typescript,52499,Support TypeScript CompletionInfo,Chang
Feature-request,typescript.md,Languages / Typescript,54215,Allow click on tsconfig references paths,Chang
Feature-request,typescript.md,Languages / Typescript,58385,Clean up JavaScript and TypeScript suggest settings,Chang
Feature-request,typescript.md,Languages / Typescript,65195,[TypeScript] Required properties should be on top of suggest,Chang
Feature-request,typescript.md,Languages / Typescript,67847,`<` and `>` are not matched in TypeScript,Chang
Bug,typescript.md,Languages / Typescript,85441,Variable beBug hovers don't work after optional chaining,Eun
Bug,typescript.md,Languages / Typescript,88416,In markdown hover  hr overlaps following codeblock,Eun
Bug,typescript.md,Languages / Typescript,90614,Follow link on hovers isn't a link when you hover immediately after writing the text,Eun
Feature-request,tips-and-tricks.md,editor,1749,Support to split editors horizontally,Cho
Feature-request,tips-and-tricks.md,editor,2105,Max editor count should be configurable,Cho
Feature-request,tips-and-tricks.md,Side by side editing,14909,Support a grid layout for editors,Cho
Feature-request,tips-and-tricks.md,editor,17738,Vertically split code editor and integrated terminal,Cho
Bug,tips-and-tricks.md,File Finding in Folder,20480,VS Code freezes when removing 'node_modules' folder from external terminal  forcing to close?,Lee
Feature-request,tips-and-tricks.md,editor,28965,Allow to split editor vertically via context menu,Cho
Bug,tips-and-tricks.md,File Finding in Folder,40898,files.watcherExclude setting is not working in multi-root workspace?,Lee
Bug,tips-and-tricks.md,multi-line paste,46440,Pasting a multi-line selection pastes entire selection into every insertion point,Lee
Feature-request,tips-and-tricks.md,File Finding in Folder,46718,search.exclude does not work for searching symbols across a workspace?,Lee
Bug,tips-and-tricks.md,multi-line paste,62974,Multi cursor paste issue?,Lee
Feature-request,tips-and-tricks.md,multi-line paste,64862,Add option to disable intelligent multi-line paste,Lee
Bug,tips-and-tricks.md,File Finding in Folder,66488,rimraf node_modules?,Lee
Bug,tips-and-tricks.md,File Finding in Folder,68459,Files to exclude being ignored?,Lee
Feature-request,tips-and-tricks.md,File Finding in Folder,68970,Find in Folder not working if the folder is excluded in setting,Lee
Feature-request,tips-and-tricks.md,getstarted/tips-and-tricks,89703,Global input variables between tasks.json and launch.json,Park
Bug,tips-and-tricks.md,,12820,"Find and Replace: ""Find in selection"" includes current line of multi-line selection ",Yang
Bug,tips-and-tricks.md,,14002,Split editor icon,Yang
Bug,tips-and-tricks.md,,29400,multi-cursor toggle modifier action has a confusing name ,Yang
Bug,tips-and-tricks.md,,43238,Large number of Multi-Cursor hangs on brackets,Yang
Feature-request,themes.md,theme,12225,Change color based on daytim,Cho
Feature-request,themes.md,Color Themes,17654,Custom coloring for picked color theme,Park
Feature-request,themes.md,Color Themes,25433,Theme generator: colors for light theme should be used ,Park
Feature-request,themes.md,Color Themes,25633,[theming] when completing color keys in settings  fill in current value,Park
Feature-request,themes.md,Color Themes,25986,Separate workbench theme and syntax theme,Park
Feature-request,themes.md,Color Themes,26974,Allow extensions to use theme colors,Park
Feature-request,themes.md,theme,28117,[theme] Icon for linked folders & files,Cho
Feature-request,themes.md,theme,28877,[themes] Schedule color theme switching (or options in general),Cho
Bug,themes.md,Color Themes,35585,Installed theme only available in one window,Park
Feature-request,themes.md,Color Themes,48982,Allow to change the color of file icons,Park
Feature-request,themes.md,Color Themes,54597,"[themes] Add a ""Recently Used"" section at the top of the color themes menu",Park
Bug,themes.md,Color Themes,61136,When there are too many folders in the folder  opening the folder will open the wrong folder.,Park
Feature-request,themes.md,Color Themes,62104,Add labels/colors for folders,Park
Feature-request,themes.md,Color Themes,62656,[themes] Color adjustments independent of themes,Park
Feature-request,themes.md,Color Themes,65375,Editor tabs colors managers,Park
Bug,themes.md,Color Themes,67283,Test: Dynamic enablement/disablement of themes,Park
Bug,themes.md,Color Themes,67425,Color themes still show in Workbench: Color Theme options after disabling the extension that provides them,Park
Bug,themes.md,Color Themes,67426,Disabling the theme that contains the active theme does not change theme to default,Park
Feature-request,themes.md,Color Themes,67434,Dynamic themes: enable a color/icon theme after installation,Park
Feature-request,themes.md,Color Themes,69193,Changing modified tab circle color,Park
Feature-request,themes.md,Color Themes,71616,[themes] Debounce color theme selection,Park
Bug,themes.md,getstarted/themes,86299,[themes] IconTheme doesn't work with spaces in names ,Eun
Feature-request,themes.md,getstarted/themes,87702,[folding] Allow folding controls to be themeable ,Park
Feature-request,themes.md,getstarted/themes,91074,Layout problems with bidirectional text lines,Park
Feature-request,themes.md,getstarted/themes,91699,Allow to set background color for active panel title,Park
Feature-request,themes.md,getstarted/themes,91935,Customize search results colors,Park
Feature-request,themes.md,getstarted/themes,92079,Diff editor style: gutter markers instead of background color,Park
Bug,themes.md,getstarted/themes,92245,A Font issue,Eun
Feature-request,telemetry.md,getstarted/telemetry,89301,Enable telemetry for Auth,Park
Feature-request,tasks.md,Custom tasks,1790,"Proposal: Add ""Run Task"" context menu to any "".js"" file containing a ""# task"" pragma comment",Park
Feature-request,tasks.md,Custom tasks,28235,Provide Task Runner viewlet,Park
Feature-request,tasks.md,Custom tasks,29444,Suggest primary build task,Park
Feature-request,tasks.md,Custom tasks,32239,Run the default build task from launch configuration,Park
Feature-request,tasks.md,Custom tasks,32879,Enforce Task dependencies,Park
Feature-request,tasks.md,Custom tasks,35312,Improve Configure Default Build task in multi root setup,Park
Bug,tasks.md,Custom tasks,37138,Tasks -> Configure Default Build Task does not preserve comments ,Park
Feature-request,tasks.md,Custom tasks,38969,Change deBugging tab to be tasks tab,Park
Feature-request,tasks.md,Custom tasks,40508,Tasks: Configure Task opens menu with one item,Park
Feature-request,tasks.md,Custom tasks,41455,Assign default task to last task I've run,Park
Feature-request,tasks.md,Custom tasks,43305,Executing multiple tasks in a single task,Park
Feature-request,tasks.md,Custom tasks,47172,"Show configured tasks in the ""Tasks"" menu",Park
Bug,tasks.md,editor/tasks,47386,Task: Typescript errors disappear after document closed,Eun
Feature-request,tasks.md,Custom tasks,47449,Improve `Run [Build] Tasks` command and dialog,Park
Feature-request,tasks.md,Custom tasks,47505,"Do not prompt the user to ""Select a task to show its output"" when there is only one task running",Park
Feature-request,tasks.md,Custom tasks,48544,Newly created npm scripts are not picked up by the explorer,Park
Bug,tasks.md,Editor / Tasks,49211,"Process Explorer: ""CPU %"" column french name is too long: ""% PROCESSEUR""",Eun
Feature-request,tasks.md,Custom tasks,49738,Stop script in NPM Script Explorer,Park
Feature-request,tasks.md,Editor / Tasks,62728,Option to run tasks without problem matchers or tasks.json,Chang
Feature-request,tasks.md,Editor / Tasks,64385,Should task user input be shell escaped?,Chang
Bug,tasks.md,Custom tasks,65561,"click scripts on ""package.json"" can't run",Park
Bug,tasks.md,Custom tasks,69555,Run npm scripts in dbclick,Park
Feature-request,tasks.md,Custom tasks,69785,A task description propery in tasks.json,Park
Feature-request,tasks.md,Custom tasks,70118,default run task,Park
Feature-request,tasks.md,Custom tasks,70283,Support using background tasks in dependsOn,Park
Feature-request,tasks.md,Custom tasks,70327,"tasks.json ""dependsOn"" property does not resolve variables/commands",Park
Feature-request,tasks.md,Custom tasks,71635,[Feature] Hide certain package.json scripts from npm scripts explorer,Park
Feature-request,tasks.md,Editor / Tasks,76518,Implement resolveTask in grunt extension,Chang
Feature-request,tasks.md,Editor / Tasks,78147,Configure task action should reveal the newly added task and position the cursor there,Chang
Feature-request,tasks.md,editor/tasks,88151,[folding] markdown Folding and Surrounding config issues ,Park
Feature-request,tasks.md,editor/tasks,88471,Auto run task on file open/focus,Park
Feature-request,tasks.md,Editor / Tasks,89273,$tsc-watch pattern is too strict,Chang
Feature-request,tasks.md,editor/tasks,90125,Add a task instancePolicy to task runOptions.,Park
Bug,tasks.md,,6690,Changing viewlets too quickly does not change view,Yang
Feature-request,settings-sync.md,Editor / Settings Sync,85618,Settings sync disable and delete data command,Chang
Feature-request,settings-sync.md,Editor / Settings Sync,86069,sync settings: resolve conflict complete button is too hidden,Chang
Bug,settings-sync.md,editor/settings-sync,86083,Sync: Have an option to copy the Sign In link,Eun
Bug,settings-sync.md,editor/settings-sync,86713,symbol text can not display fully when it too long,Eun
Feature-request,settings-sync.md,Editor / Settings Sync,86917,Ignore machine scoped settings while syncing,Chang
Bug,settings-sync.md,editor/settings-sync,87446,"Editor limit: running ""Save As"" will close one editor when limit reached",Eun
Feature-request,settings-sync.md,editor/settings-sync,88291,Handle default platform settings while syncing,Park
Feature-request,settings-sync.md,editor/settings-sync,88625,Settings Sync: No way to specify a platform specific extension,Park
Bug,settings-sync.md,editor/settings-sync,88703,Setting format error not reported in Settings UI,Eun
Feature-request,settings-sync.md,editor/settings-sync,89179,"Allow ""files.associations"" as a resource setting",Park
Feature-request,settings-sync.md,editor/settings-sync,89595,Sync Settings UI: Quickpick UI comes at its limits... ,Park
Feature-request,settings-sync.md,Editor / Settings Sync,90088,Move sync configuration from settings to storage,Chang
Feature-request,settings-sync.md,Editor / Settings Sync,90218,Improve error handling in settings sync,Chang
Feature-request,settings-sync.md,editor/settings-sync,91011,Settings sync should support user tasks,Park
Feature-request,settings-sync.md,Editor / Settings Sync,91078,Enable local backups for all resource,Chang
Bug,settings-sync.md,editor/settings-sync,91395,Settings UI: add separator for sync setting,Park
Feature-request,settings-sync.md,editor/settings-sync,92166,Time line provider for sync resources,Park
Feature-request,settings-sync.md,Editor/settings-sync,92200,"""Unable to delete folder"" improvement",Park
Feature-request,settings.md,User profile,49179,Sync VSCode settings and extensions on the cloud,Lee
Feature-request,settings.md,User profile,53453,User profile,Lee
Feature-request,settings.md,User profile,56850,Sync VSCode Profile to cloud / login,Lee
Feature-request,settings.md,Language specific editor settings,58995,Settings UI - Not Showing Language Specific fields for TabSize/InsertSpaces,Park
Feature-request,settings.md,User profile,59780,Save and sync extensions to the cloud,Lee
Feature-request,settings.md,User profile,60755,sync my global setting and installed extension with cloud account,Lee
Feature-request,settings.md,Settings file locations,64877,Display current value of a property in settings.json,Park
Feature-request,settings.md,Settings-editior,65844,configurationDefaults should be removed or migrated into the new settings editor,Park
Feature-request,settings.md,Settings-editior,67908,Settings UI: Improve `Edit in settings.json` experience,Park
Feature-request,settings.md,Settings-editior,68133,Highlight matches in Settings GUI search,Park
Feature-request,settings.md,Settings-editior,68184,Custom comments in Settings UI,Park
Feature-request,settings.md,Settings-editior,70589,Settings UI is overwhelming for extensions with lots of settings,Park
Feature-request,settings.md,Settings-editior,71295,Support for command links in property descriptions,Park
Bug,settings.md,getstarted/settings,79911,Custom data settings: User level setting,Eun
Feature-request,settings.md,getstarted/settings,87887,Repo grouping (folders) in Workspace,Park
Bug,settings.md,getstarted/settings,89247,Settings bad layout after toggling v/h editor layout ,Eun
Bug,settings.md,getstarted/settings,89680,Taskbar Icon not showing after Windows Update ,Eun
Feature-request,settings.md,getstarted/settings,90110,Allow custom editors to hook into Edit menu actions such as copy  undo  redo  ¡¦,Park
Bug,settings.md,getstarted/settings,91205,Editor icon does not change when changing from plain text,Park
Feature-request,settings.md,getstarted/settings,91973,Use codicons in file icons,Park
Feature-request,settings.md,getstarted/settings,92003,Show parent folder for recent workspaces in taskbar icon context menu,Park
Bug,settings.md,,2397,Confirmation on git Sync,Yang
Bug,settings.md,,2468,[json] Intellisense Provides Strange Suggestions In Property Value,Yang
Bug,refactoring.md,editor / refactoring,82592,Web: Webview is stealing keybindings,Eun
Bug,nodejs-tutorial.md,nodejs/nodejs-tutorial,91499,DeBug start view: Not shown after deleting launch.json,Eun
Feature-request,nodejs-tutorial.md,nodejs/nodejs-tutorial,92220,launch.json - allow serveReadyAction to launch another configuration,Park
Feature-request,nodejs-deBugging.md,nodejs/nodejs-deBugging,92042,"[json] support ""$id"" references.",Park
Feature-request,multi-root-workspaces.md,editor/multi-root-workspaces,89779,Suggestion: highlight focused problem in panel,Park
Feature-request,markdown.md,Languages / Markdown,5047,Support to scroll markdown preview with source scrolling,Chang
Feature-request,markdown.md,Spell check,5292,use chrome/electron's spell checker for comments and text documents?,Lee
Feature-request,markdown.md,Languages / Markdown,7638,No markdown preview button when a file is not named ending with .md,Chang
Feature-request,markdown.md,Languages / Markdown,11851,Embedded language support in Markdown,Chang
Feature-request,markdown.md,Languages / Markdown,14538,Allow saving markdown preview as an HTML document,Chang
Feature-request,markdown.md,Markdown preview,19339,Markdown Preview: Links to markdown files in the workspace should also open in the preview,Park
Feature-request,markdown.md,Spell check,20266,Offline spell checker for VSCode,Lee
Feature-request,markdown.md,Languages / Markdown,20804,Can markdown preview support UML graph £¿,Chang
Feature-request,markdown.md,Markdown preview,26339,Add support for local history,Park
Feature-request,markdown.md,Languages / Markdown,28297,Implement download button for the MarkDown preview HTML,Chang
Feature-request,markdown.md,Languages / Markdown,28916,Feature Request: render emoji in Markdown Preview,Chang
Feature-request,markdown.md,Markdown preview,32818,Drag markdown preview to New Window,Park
Feature-request,markdown.md,Languages / Markdown,33714,Detect Markdown references links,Chang
Bug,markdown.md,Markdown preview,39195,Can't scroll a markdown preview using touch,Park
Bug,markdown.md,Spell check,41265,Dark is not so Dark,Lee
Bug,markdown.md,Markdown preview,42583,Markdown Open preview action is not multi-select aware,Park
Feature-request,markdown.md,Spell check,43609,In Built Spell Check,Lee
Bug,markdown.md,,45007,Markdown extension resources not loading on windows,Park
Bug,markdown.md,Markdown preview,50975,Cannot split editor from markdown preview,Park
Feature-request,markdown.md,Markdown preview,53992,"Outline view + Markdown: Do not display the ""#""s",Park
Feature-request,markdown.md,Markdown preview,54675,Opening new files open in Preview pane,Park
Feature-request,markdown.md,Markdown preview,54776,Option to automatically open markdown in preview,Park
Bug,markdown.md,Markdown preview,56910,Markdown: possible to open the same preview in one editor group ,Park
Feature-request,markdown.md,Languages / Markdown,57104,Add code folding in markdown based on bullet point hierarchy level,Chang
Feature-request,markdown.md,Markdown preview,57979,Improve detection of current Markdown heading,Park
Feature-request,markdown.md,Markdown preview,59483,More Robust Markdown Preview,Park
Feature-request,markdown.md,Languages / Markdown,59567,Syntax highlighting for json5 in markdown,Chang
Feature-request,markdown.md,Markdown preview,59585,Request Console History in DeBug Mode,Park
Feature-request,markdown.md,Markdown preview,61898,Preview Mode History,Park
Feature-request,markdown.md,Markdown preview,65837,[Request Change to Feature] Absolute path for Markdown Preview CSS,Park
Feature-request,markdown.md,Markdown preview,66132,autoclosing markdown preview when closing md file,Park
Bug,markdown.md,Languages / Markdown,80656,Markdown: Find widget arrows look disabled,Eun
Bug,markdown.md,Languages / Markdown,85015,markdown extension does not open relative links in remote env ,Eun
Bug,markdown.md,Languages / Markdown,86332,Markdown word not highlighting when using underscore to mark italic,Eun
Bug,markdown.md,Languages / Markdown,89930,Markdown preview jumps a bit on every keystroke ,Eun
Feature-request,keyboard-shortcuts.md,customization/keyboard-shortcuts,87895,Add custom character for auto bracket matching.,Park
Feature-request,keybindings.md,Keyboard layouts,3671,"Add support for ""e.key"" keybindings in extension's `contributes.keybindings`",Park
Feature-request,keybindings.md,keybindings,6966,enable keychords of 3 steps,Cho
Feature-request,keybindings.md,Accepted Key,14478,Add support for contextmenu key,Park
Feature-request,keybindings.md,keybindings,28042,Add support for more sequential keys for keybinding,Cho
Feature-request,keybindings.md,Keyboard Shortcuts editor,31074,Keyboard shortcut chords with bare shift,Park
Feature-request,keybindings.md,Keyboard layouts,37549,b?po keyboard layout: cut / copy / paste shortcuts,Park
Feature-request,keybindings.md,keybindings,65826,Modifying ChordKeybinding to support multiple chords,Cho
Feature-request,keybindings.md,Keyboard Shortcuts editor,68271,"Keyboard shortcut search results for ""focus terminal"" have odd ordering",Park
Feature-request,keybindings.md,Keyboard Shortcuts editor,68372,Align Keybindings editor with Settings editor,Park
Feature-request,keybindings.md,keybindings,68863,Modifying ResolvedKeybindingItem to support multiple chords,Cho
Feature-request,keybindings.md,Get started/keybindings,87964,A setting to disable all default keybindings.,Park
Feature-request,keybindings.md,Get started/keybindings,88323,Make it easier to define platform-specific keybindings,Park
Feature-request,keybindings.md,getstarted/keybindings,91657,Suggest: Insert with Enter and Replace with Tab,Park
Feature-request,keybindings.md,Get started/keybindings,92233,Alias keybindings in command palette,Park
Bug,keybindings,,464,not working key-binding with JIS Keyboard,Yang
Bug,keybindings,,2988,Improperly serialized keybindings,Yang
Bug,keybindings,,3386,Restart and Stop actions have no keybindings,Yang
Bug,keybindings,,24022,Keybinding conflict with Tasks,Yang
Bug,keybindings,,28099,Keybindings editor gets focus when making changes in keybindings.json,Yang
Feature-request,json.md,Languages / JSON,1272,[json] json.schemas setting has no scheme / code complete,Chang
Feature-request,json.md,Languages / JSON,4630,[json] provide intellisense for version in bower.json dependencies,Chang
Feature-request,json.md,Languages / JSON,7730,[json] Referencing **local** JSON schema from another local schema,Chang
Feature-request,json.md,Languages / JSON,24321,[json] IntelliSense don't work for @angular in package.json,Chang
Feature-request,json.md,Languages / JSON,33083,[json] Provide a flag in json schema to ignore a property in proposals,Chang
Feature-request,json.md,Languages / JSON,46322,[json] support JSON schema draft 7,Chang
Bug,json.md,languages/json,58923,Settings: Utilize Button for all 'Edit settings.json' link,Eun
Feature-request,json.md,Languages / JSON,85383,Allow json edit to support inserting in array at a given index,Chang
Feature-request,json.md,languages/json,88925,provider UI for launch.json and task.json,Park
Feature-request,json.md,languages/json,89120,Soft-wrap JSON following a newline \n in a string,Park
Feature-request,json.md,languages/json,89825,launch.json: values from envFile not substituted in args,Park
Feature-request,jsconfig.md,Languages / Appendix - jsconfig.json,56079,[json] add setting `json.validation.enable`,Chang
Feature-request,jsconfig.md,Languages / Appendix - jsconfig.json,76771,[config] `markdownDescription` is missing from autocomplete for nested properties,Chang
Feature-request,jsconfig.md,Languages / Appendix - jsconfig.json,86985,"[Feature Request] Allow ""jsconfig.json"" within "".vscode"" directory",Chang
Feature-request,javascript.md,editor autoclosing,35799,cant add parenthesis when cursor precedes an existing parenthesis,Lee
Feature-request,javascript.md,editor autoclosing,37315,Adding close paren inside parent pair overwrites close (right) paren,Lee
Feature-request,javascript.md,editor autoclosing,44002,Parenthesis inside of another parenthesis (unnecessary deletion)?,Lee
Feature-request,javascript.md,editor autoclosing,64609,automatically place a semicolon after writing a parenthesis instead of inside,Lee
Feature-request,javascript.md,Languages / Javascript,65780,Add option to disable markdown highlighting in JSDoc comments,Chang
Feature-request,javascript.md,Languages / Typescript,72423,Support smart select for JavaScript and TypeScript,Chang
Feature-request,javascript.md,Languages / Javascript,74798,Intellisense  Add an option to delay validation (and thus wavy lines in code).,Chang
Feature-request,javascript.md,Languages / Javascript,76592,proper JSDocs for function signatures using destructuring,Chang
Feature-request,javascript.md,Languages / Javascript,92074,[JS] Expose JSDoc creation as a command,Chang
Bug,javascript.md,,34,Javascript - regular expressions are not colored - Javascript mode instantiated twice,Yang
Bug,javascript.md,,1590,JSDoc Comment seen as code error in JavaScript,Yang
Bug,integrated-terminal.md,editor/integrated-terminal,21125,Terminal link detection issues,Eun
Feature-request,integrated-terminal.md,Editor / Integrated Terminal,65710,Find in Terminal: Allow finding multiple instances on the same line,Chang
Feature-request,integrated-terminal.md,Editor / Integrated Terminal,76175,Terminal: Ctrl/Cmd + Click does not trigger port forwarding,Chang
Feature-request,integrated-terminal.md,Editor / Integrated Terminal,79572,bash.exe / zsh.exe on Windows should `--login` arg defaultly.,Chang
Feature-request,integrated-terminal.md,Editor / Integrated Terminal,81447,Feature: paste on right click regardless of selection,Chang
